time	replicate	inc_temp	ppmv	nmol_l	gas	soil_type
72	5	19	0.33961083	NA	H2	unwarmed
120	5	19	0.07037898	NA	H2	unwarmed
240	5	19	0.1914787	NA	H2	unwarmed
360	5	19	0.14984161	NA	H2	unwarmed
480	5	19	-0.1528977	NA	H2	unwarmed
600	5	19	-0.137142	NA	H2	unwarmed
720	5	19	-0.0137257	NA	H2	unwarmed
840	5	19	0.03903955	NA	H2	unwarmed
0	1	13	11.8022582	502.636406987234	H2	unwarmed
1	1	13	10.7778176	459.007371456064	H2	unwarmed
2	1	13	9.97111475	424.651385071157	H2	unwarmed
4	1	13	8.8587178	377.276450832592	H2	unwarmed
8	1	13	6.69327667	285.054307351137	H2	unwarmed
24	1	13	1.66482046	70.9016325615749	H2	unwarmed
48	1	13	0.01350136	NA	H2	unwarmed
72	1	13	-0.1615722	NA	H2	unwarmed
120	1	13	-0.1319205	NA	H2	unwarmed
240	1	13	-0.0100116	NA	H2	unwarmed
360	1	13	0.01733979	NA	H2	unwarmed
0	2	13	12.2893543	523.38093141744	H2	unwarmed
1	2	13	11.2344513	478.454558459419	H2	unwarmed
2	2	13	10.3717855	441.715213259976	H2	unwarmed
4	2	13	9.21900763	392.620530122879	H2	unwarmed
8	2	13	7.00095755	298.157868500297	H2	unwarmed
24	2	13	1.80722427	76.9663481597892	H2	unwarmed
48	2	13	0.04892171	NA	H2	unwarmed
72	2	13	-0.1394713	NA	H2	unwarmed
120	2	13	-0.156252	NA	H2	unwarmed
240	2	13	0.00035926	NA	H2	unwarmed
360	2	13	0.02674951	NA	H2	unwarmed
0	4	13	12.4056326	528.333009734332	H2	unwarmed
1	4	13	11.7665574	501.115975766828	H2	unwarmed
2	4	13	11.2930974	480.952187683276	H2	unwarmed
4	4	13	10.6220749	452.374577136881	H2	unwarmed
8	4	13	9.25458549	394.135725555453	H2	unwarmed
24	4	13	5.03551132	214.453138911022	H2	unwarmed
48	4	13	1.44512228	61.5450923177058	H2	unwarmed
72	4	13	0.26296891	NA	H2	unwarmed
120	4	13	-0.1175563	NA	H2	unwarmed
240	4	13	0.09754332	NA	H2	unwarmed
360	4	13	0.03695435	NA	H2	unwarmed
0	5	13	11.7081725	498.629470569178	H2	unwarmed
1	5	13	9.26048953	394.387167728808	H2	unwarmed
2	5	13	7.31239183	311.421280032156	H2	unwarmed
4	5	13	4.84788264	206.462379518641	H2	unwarmed
8	5	13	1.37169338	58.4178909093325	H2	unwarmed
24	5	13	-0.1505646	NA	H2	unwarmed
48	5	13	-0.155964	NA	H2	unwarmed
72	5	13	-0.0469899	NA	H2	unwarmed
120	5	13	-0.1543441	NA	H2	unwarmed
240	5	13	-0.0020869	NA	H2	unwarmed
360	5	13	0.04313622	NA	H2	unwarmed
0	1	19	12.71258527	530.286498368522	CO	warmed
1	1	19	9.207769224	384.088334188252	CO	warmed
2	1	19	8.153990083	340.131511963162	CO	warmed
4	1	19	6.633689012	276.714424542792	CO	warmed
8	1	19	4.042322549	168.619444767376	CO	warmed
24	1	19	0.129166096	NA	CO	warmed
48	1	19	-0.07627759	NA	CO	warmed
72	1	19	-0.043362221	NA	CO	warmed
120	1	19	-0.0524807	NA	CO	warmed
240	1	19	-0.1109573	NA	CO	warmed
360	1	19	-0.0885552	NA	CO	warmed
480	1	19	NA	NA	CO	warmed
600	1	19	NA	NA	CO	warmed
720	1	19	NA	NA	CO	warmed
840	1	19	NA	NA	CO	warmed
0	2	19	11.25343807	469.420353295874	CO	warmed
1	2	19	9.74983289	406.699710020222	CO	warmed
2	2	19	9.019514834	376.235583614284	CO	warmed
4	2	19	7.947455004	331.516209764039	CO	warmed
8	2	19	5.905647481	246.345259975462	CO	warmed
24	2	19	1.050035614	43.8006665901641	CO	warmed
48	2	19	-0.034896412	NA	CO	warmed
72	2	19	-0.075293162	NA	CO	warmed
120	2	19	-0.078151659	NA	CO	warmed
240	2	19	NA	NA	CO	warmed
360	2	19	NA	NA	CO	warmed
480	2	19	NA	NA	CO	warmed
600	2	19	NA	NA	CO	warmed
720	2	19	NA	NA	CO	warmed
840	2	19	NA	NA	CO	warmed
0	4	19	10.93758458	456.244996934266	CO	warmed
1	4	19	8.794204586	366.837103295696	CO	warmed
2	4	19	7.224308961	301.351253163396	CO	warmed
