time	replicate	inc_temp	ppmv	nmol_l	gas	soil_type	group
48	4	13	1.7821152	75.8969991832018	CO	unwarmed	4_unwarmed_13_CO
0	5	13	10.3971562	442.795704575676	CO	unwarmed	5_unwarmed_13_CO
1	5	13	8.96952899	381.995695018894	CO	unwarmed	5_unwarmed_13_CO
2	5	13	7.7442674	329.814063946201	CO	unwarmed	5_unwarmed_13_CO
4	5	13	6.02870407	256.751386148637	CO	unwarmed	5_unwarmed_13_CO
8	5	13	2.86487192	122.00961069869	CO	unwarmed	5_unwarmed_13_CO
0	1	19	15.00328563	625.839640936817	CH4	warmed	1_warmed_19_CH4
1	1	19	12.4584423	519.685304135881	CH4	warmed	1_warmed_19_CH4
2	1	19	12.47935904	520.557814689503	CH4	warmed	1_warmed_19_CH4
4	1	19	12.17762826	507.971566072253	CH4	warmed	1_warmed_19_CH4
8	1	19	12.08723789	504.20106685628	CH4	warmed	1_warmed_19_CH4
24	1	19	11.74143407	489.776377232919	CH4	warmed	1_warmed_19_CH4
48	1	19	11.11227736	463.532045211934	CH4	warmed	1_warmed_19_CH4
72	1	19	10.39239451	433.50320783116	CH4	warmed	1_warmed_19_CH4
120	1	19	8.25737356	344.443999222293	CH4	warmed	1_warmed_19_CH4
240	1	19	4.9264479	205.499412652983	CH4	warmed	1_warmed_19_CH4
360	1	19	2.90222137	121.061827716464	CH4	warmed	1_warmed_19_CH4
840	1	19	0.24949733	NA	CH4	warmed	1_warmed_19_CH4
0	2	19	13.71771195	572.213855883425	CH4	warmed	2_warmed_19_CH4
1	2	19	12.22983215	510.149173336343	CH4	warmed	2_warmed_19_CH4
2	2	19	12.6665684	528.366973398588	CH4	warmed	2_warmed_19_CH4
4	2	19	12.02347487	501.541287756823	CH4	warmed	2_warmed_19_CH4
8	2	19	11.98533118	499.950180725849	CH4	warmed	2_warmed_19_CH4
24	2	19	11.70792639	488.378654431595	CH4	warmed	2_warmed_19_CH4
48	2	19	11.49226117	479.382502043649	CH4	warmed	2_warmed_19_CH4
72	2	19	11.29398514	471.111713732224	CH4	warmed	2_warmed_19_CH4
120	2	19	9.25173256	385.922199055932	CH4	warmed	2_warmed_19_CH4
240	2	19	5.59881737	233.546300385379	CH4	warmed	2_warmed_19_CH4
360	2	19	3.1569263	131.686463270779	CH4	warmed	2_warmed_19_CH4
0	4	19	13.69592031	571.30485018365	CH4	warmed	4_warmed_19_CH4
1	4	19	12.55613618	523.760458358012	CH4	warmed	4_warmed_19_CH4
2	4	19	12.11229613	505.246333893838	CH4	warmed	4_warmed_19_CH4
4	4	19	12.45611716	519.588314395193	CH4	warmed	4_warmed_19_CH4
8	4	19	12.03540488	502.038930297191	CH4	warmed	4_warmed_19_CH4
24	4	19	10.95247492	456.86612521702	CH4	warmed	4_warmed_19_CH4
48	4	19	9.428136013	393.280605501569	CH4	warmed	4_warmed_19_CH4
72	4	19	7.58788456	316.517265991717	CH4	warmed	4_warmed_19_CH4
120	4	19	3.8049896	158.719455441863	CH4	warmed	4_warmed_19_CH4
0	5	19	13.15286957	548.652300034735	CH4	warmed	5_warmed_19_CH4
1	5	19	12.60771718	525.912082696524	CH4	warmed	5_warmed_19_CH4
2	5	19	12.71379868	530.337113953497	CH4	warmed	5_warmed_19_CH4
4	5	19	11.68068565	487.242347667804	CH4	warmed	5_warmed_19_CH4
8	5	19	11.73421616	489.475292902852	CH4	warmed	5_warmed_19_CH4
24	5	19	9.064680709	378.119610599418	CH4	warmed	5_warmed_19_CH4
48	5	19	6.023287932	251.252455601083	CH4	warmed	5_warmed_19_CH4
72	5	19	3.732284027	155.686651106695	CH4	warmed	5_warmed_19_CH4
0	1	19	13.17199372	549.450035375138	CH4	unwarmed	1_unwarmed_19_CH4
1	1	19	12.47734772	520.473915481179	CH4	unwarmed	1_unwarmed_19_CH4
2	1	19	12.33614664	514.583923423014	CH4	unwarmed	1_unwarmed_19_CH4
4	1	19	12.50864914	521.779607443375	CH4	unwarmed	1_unwarmed_19_CH4
8	1	19	11.73794399	489.630793760878	CH4	unwarmed	1_unwarmed_19_CH4
24	1	19	10.68180779	445.575650341711	CH4	unwarmed	1_unwarmed_19_CH4
48	1	19	8.835660539	368.566376428265	CH4	unwarmed	1_unwarmed_19_CH4
72	1	19	6.650316656	277.408021865886	CH4	unwarmed	1_unwarmed_19_CH4
120	1	19	3.95390486	164.931232991579	CH4	unwarmed	1_unwarmed_19_CH4
0	2	19	13.16560316	549.183462714028	CH4	unwarmed	2_unwarmed_19_CH4
1	2	19	12.47131853	520.222416829631	CH4	unwarmed	2_unwarmed_19_CH4
2	2	19	12.25834245	511.338437898455	CH4	unwarmed	2_unwarmed_19_CH4
4	2	19	12.26327802	511.544317825879	CH4	unwarmed	2_unwarmed_19_CH4
8	2	19	11.70069421	488.076974849801	CH4	unwarmed	2_unwarmed_19_CH4
24	2	19	10.08525098	420.691174435828	CH4	unwarmed	2_unwarmed_19_CH4
48	2	19	7.331907801	305.839577991137	CH4	unwarmed	2_unwarmed_19_CH4
72	2	19	5.191585995	216.559252095196	CH4	unwarmed	2_unwarmed_19_CH4
120	2	19	2.44846912	102.134230640898	CH4	unwarmed	2_unwarmed_19_CH4
0	4	19	12.84320765	535.735215763734	CH4	unwarmed	4_unwarmed_19_CH4
1	4	19	12.89049498	537.707736074144	CH4	unwarmed	4_unwarmed_19_CH4
2	4	19	12.77362465	532.832664895261	CH4	unwarmed	4_unwarmed_19_CH4
4	4	19	12.4028672	517.367071884175	CH4	unwarmed	4_unwarmed_19_CH4
8	4	19	12.65895107	528.049227860067	CH4	unwarmed	4_unwarmed_19_CH4
24	4	19	12.60066673	525.617983710125	CH4	unwarmed	4_unwarmed_19_CH4
48	4	19	11.81442995	492.821291290791	CH4	unwarmed	4_unwarmed_19_CH4
72	4	19	10.65793902	444.580000267801	CH4	unwarmed	4_unwarmed_19_CH4
120	4	19	9.1415158	381.324671607298	CH4	unwarmed	4_unwarmed_19_CH4
240	4	19	6.52839714	272.322331437913	CH4	unwarmed	4_unwarmed_19_CH4
360	4	19	4.2035395	175.344368974979	CH4	unwarmed	4_unwarmed_19_CH4
480	4	19	2.79619676	116.639169540831	CH4	unwarmed	4_unwarmed_19_CH4
0	5	19	12.8867624	537.552037076966	CH4	unwarmed	5_unwarmed_19_CH4
1	5	19	12.38134183	516.469173239568	CH4	unwarmed	5_unwarmed_19_CH4
2	5	19	12.35724882	515.464169329135	CH4	unwarmed	5_unwarmed_19_CH4
4	5	19	11.72504398	489.092689119962	CH4	unwarmed	5_unwarmed_19_CH4
8	5	19	10.64914174	444.213034878205	CH4	unwarmed	5_unwarmed_19_CH4
24	5	19	7.613372702	317.580465748811	CH4	unwarmed	5_unwarmed_19_CH4
48	5	19	3.943137442	164.482086239253	CH4	unwarmed	5_unwarmed_19_CH4
72	5	19	1.619578395	67.5582926428513	CH4	unwarmed	5_unwarmed_19_CH4
0	1	13	12.0669822	513.910513852926	CH4	unwarmed	1_unwarmed_13_CH4
1	1	13	11.8623747	505.196657834877	CH4	unwarmed	1_unwarmed_13_CH4
2	1	13	11.9893467	510.6041611098	CH4	unwarmed	1_unwarmed_13_CH4
4	1	13	11.7277468	499.463103900577	CH4	unwarmed	1_unwarmed_13_CH4
8	1	13	11.9833148	510.347273614887	CH4	unwarmed	1_unwarmed_13_CH4
24	1	13	10.6505627	453.587819991962	CH4	unwarmed	1_unwarmed_13_CH4
48	1	13	9.22311051	392.795264214148	CH4	unwarmed	1_unwarmed_13_CH4
72	1	13	7.27923256	310.009087886493	CH4	unwarmed	1_unwarmed_13_CH4
120	1	13	4.6092628	196.300000677152	CH4	unwarmed	1_unwarmed_13_CH4
0	2	13	12.8869107	548.829756276078	CH4	unwarmed	2_unwarmed_13_CH4
1	2	13	12.6385486	538.252472551189	CH4	unwarmed	2_unwarmed_13_CH4
2	2	13	12.4469655	530.093301705098	CH4	unwarmed	2_unwarmed_13_CH4
4	2	13	12.3516054	526.032090941725	CH4	unwarmed	2_unwarmed_13_CH4
8	2	13	11.7150752	498.923443829864	CH4	unwarmed	2_unwarmed_13_CH4
24	2	13	10.5721694	450.249193944629	CH4	unwarmed	2_unwarmed_13_CH4
48	2	13	8.66477151	369.016636083402	CH4	unwarmed	2_unwarmed_13_CH4
72	2	13	6.5077132	277.151501443291	CH4	unwarmed	2_unwarmed_13_CH4
120	2	13	3.7684522	160.491428132892	CH4	unwarmed	2_unwarmed_13_CH4
0	4	13	12.9007934	549.420994861867	CH4	unwarmed	4_unwarmed_13_CH4
1	4	13	12.9760347	552.625383043194	CH4	unwarmed	4_unwarmed_13_CH4
2	4	13	12.337333	525.424255751754	CH4	unwarmed	4_unwarmed_13_CH4
4	4	13	12.2761878	522.820194468591	CH4	unwarmed	4_unwarmed_13_CH4
8	4	13	12.8101893	545.562333365857	CH4	unwarmed	4_unwarmed_13_CH4
24	4	13	12.7847676	544.479670054228	CH4	unwarmed	4_unwarmed_13_CH4
48	4	13	11.7132968	498.847705054196	CH4	unwarmed	4_unwarmed_13_CH4
72	4	13	10.8932134	463.921865725764	CH4	unwarmed	4_unwarmed_13_CH4
120	4	13	9.2922899	395.741486830018	CH4	unwarmed	4_unwarmed_13_CH4
240	4	13	7.24463216	308.535520672355	CH4	unwarmed	4_unwarmed_13_CH4
360	4	13	4.47632039	190.638228652996	CH4	unwarmed	4_unwarmed_13_CH4
0	5	13	12.8546121	547.454218478174	CH4	unwarmed	5_unwarmed_13_CH4
1	5	13	12.532526	533.737165580236	CH4	unwarmed	5_unwarmed_13_CH4
2	5	13	12.3861405	527.502877149312	CH4	unwarmed	5_unwarmed_13_CH4
4	5	13	12.0893374	514.86258058584	CH4	unwarmed	5_unwarmed_13_CH4
8	5	13	11.2817233	480.467785744271	CH4	unwarmed	5_unwarmed_13_CH4
24	5	13	8.57672456	365.266878889124	CH4	unwarmed	5_unwarmed_13_CH4
48	5	13	5.37565732	228.939329637732	CH4	unwarmed	5_unwarmed_13_CH4
72	5	13	2.83729019	120.834955693625	CH4	unwarmed	5_unwarmed_13_CH4
