time	replicate	inc_temp	ppmv	nmol_l	gas	soil_type	group
8	2	19	5.905647481	246.345259975462	CO	warmed	2_warmed_19_CO
24	2	19	1.050035614	43.8006665901641	CO	warmed	2_warmed_19_CO
0	4	19	10.93758458	456.244996934266	CO	warmed	4_warmed_19_CO
1	4	19	8.794204586	366.837103295696	CO	warmed	4_warmed_19_CO
2	4	19	7.224308961	301.351253163396	CO	warmed	4_warmed_19_CO
4	4	19	5.136764102	214.272438747992	CO	warmed	4_warmed_19_CO
8	4	19	2.052232693	85.6058201769979	CO	warmed	4_warmed_19_CO
0	5	19	10.99183218	458.50785450713	CO	warmed	5_warmed_19_CO
1	5	19	8.264475523	344.740246996513	CO	warmed	5_warmed_19_CO
2	5	19	6.281380982	262.018421518396	CO	warmed	5_warmed_19_CO
4	5	19	3.706129633	154.595659642988	CO	warmed	5_warmed_19_CO
8	5	19	0.817951949	34.119643302807	CO	warmed	5_warmed_19_CO
0	1	19	10.84368408	452.328077890461	CO	unwarmed	1_unwarmed_19_CO
1	1	19	10.07296113	420.178521707562	CO	unwarmed	1_unwarmed_19_CO
2	1	19	9.53836671	397.878714311332	CO	unwarmed	1_unwarmed_19_CO
4	1	19	8.625263677	359.789985721884	CO	unwarmed	1_unwarmed_19_CO
8	1	19	6.973535052	290.890594276048	CO	unwarmed	1_unwarmed_19_CO
24	1	19	2.233972918	93.1868420919807	CO	unwarmed	1_unwarmed_19_CO
0	2	19	10.78664767	449.948889275712	CO	unwarmed	2_unwarmed_19_CO
1	2	19	9.855885818	411.12354943891	CO	unwarmed	2_unwarmed_19_CO
2	2	19	9.191771909	383.421030097504	CO	unwarmed	2_unwarmed_19_CO
4	2	19	8.025955401	334.790736523273	CO	unwarmed	2_unwarmed_19_CO
8	2	19	6.032567186	251.639525815884	CO	unwarmed	2_unwarmed_19_CO
24	2	19	1.289098172	53.7728039705918	CO	unwarmed	2_unwarmed_19_CO
0	4	19	11.14748651	465.000742291834	CO	unwarmed	4_unwarmed_19_CO
1	4	19	10.68300551	445.625611441781	CO	unwarmed	4_unwarmed_19_CO
2	4	19	10.3503397	431.748954273697	CO	unwarmed	4_unwarmed_19_CO
4	4	19	9.790865134	408.411308764996	CO	unwarmed	4_unwarmed_19_CO
8	4	19	8.800320522	367.092220427012	CO	unwarmed	4_unwarmed_19_CO
24	4	19	5.24038998	218.595037402623	CO	unwarmed	4_unwarmed_19_CO
48	4	19	1.811547732	75.5660066797505	CO	unwarmed	4_unwarmed_19_CO
0	5	19	10.64378544	443.989604827521	CO	unwarmed	5_unwarmed_19_CO
1	5	19	8.944282662	373.097385977279	CO	unwarmed	5_unwarmed_19_CO
2	5	19	7.537669507	314.422620091202	CO	unwarmed	5_unwarmed_19_CO
4	5	19	5.4779388	228.504031464331	CO	unwarmed	5_unwarmed_19_CO
8	5	19	2.344556612	97.7996756441222	CO	unwarmed	5_unwarmed_19_CO
0	1	13	10.2892289	438.19927994502	CO	unwarmed	1_unwarmed_13_CO
1	1	13	9.63136507	410.182072882218	CO	unwarmed	1_unwarmed_13_CO
2	1	13	9.0783226	386.629014194504	CO	unwarmed	1_unwarmed_13_CO
4	1	13	8.23934011	350.898297483121	CO	unwarmed	1_unwarmed_13_CO
8	1	13	6.54338923	278.670877755086	CO	unwarmed	1_unwarmed_13_CO
24	1	13	2.09465201	89.2073654340987	CO	unwarmed	1_unwarmed_13_CO
0	2	13	10.76555405	458.485089482186	CO	unwarmed	2_unwarmed_13_CO
1	2	13	10.04129646	427.640294647005	CO	unwarmed	2_unwarmed_13_CO
2	2	13	9.389381176	399.876425186005	CO	unwarmed	2_unwarmed_13_CO
4	2	13	8.489100374	361.535126433799	CO	unwarmed	2_unwarmed_13_CO
8	2	13	6.666028239	283.893846935699	CO	unwarmed	2_unwarmed_13_CO
24	2	13	2.058029352	87.647673981878	CO	unwarmed	2_unwarmed_13_CO
0	4	13	10.8321214	461.320070132471	CO	unwarmed	4_unwarmed_13_CO
1	4	13	10.4316419	444.264386928383	CO	unwarmed	4_unwarmed_13_CO
2	4	13	10.0685952	428.802897629956	CO	unwarmed	4_unwarmed_13_CO
4	4	13	9.58165117	408.064849580551	CO	unwarmed	4_unwarmed_13_CO
8	4	13	8.55890885	364.508140662034	CO	unwarmed	4_unwarmed_13_CO
24	4	13	5.17976165	220.596494390054	CO	unwarmed	4_unwarmed_13_CO
