time	replicate	soil_type	inc_temp	ppmv	gas	group	nmol_l
120	2	Heat-Killed	19	12.0064519	CH4	2_Heat-Killed_19_CH4	500.8310224117767
240	2	Heat-Killed	19	12.9592343	CH4	2_Heat-Killed_19_CH4	540.5749024108252
360	2	Heat-Killed	19	12.0280226	CH4	2_Heat-Killed_19_CH4	501.73081161054387
480	2	Heat-Killed	19	13.2277287	CH4	2_Heat-Killed_19_CH4	551.7747411295256
0	1	Heat-Killed	13	11.80361915	CH4	1_Heat-Killed_13_CH4	492.3701603346886
1	1	Heat-Killed	13	11.80094191	CH4	1_Heat-Killed_13_CH4	492.2584833082357
2	1	Heat-Killed	13	11.64231162	CH4	1_Heat-Killed_13_CH4	485.6414601453664
4	1	Heat-Killed	13	11.52117669	CH4	1_Heat-Killed_13_CH4	480.58849934171064
8	1	Heat-Killed	13	11.52636414	CH4	1_Heat-Killed_13_CH4	480.8048859902266
24	1	Heat-Killed	13	12.18989037	CH4	1_Heat-Killed_13_CH4	508.4828813660239
48	1	Heat-Killed	13	12.22402736	CH4	1_Heat-Killed_13_CH4	509.9068543887084
72	1	Heat-Killed	13	12.25683031	CH4	1_Heat-Killed_13_CH4	511.27517994595513
120	1	Heat-Killed	13	11.03018196	CH4	1_Heat-Killed_13_CH4	460.10739512601015
240	1	Heat-Killed	13	11.84892156	CH4	1_Heat-Killed_13_CH4	494.259882003254
360	1	Heat-Killed	13	10.98132345	CH4	1_Heat-Killed_13_CH4	458.0693361123547
480	1	Heat-Killed	13	11.30805274	CH4	1_Heat-Killed_13_CH4	471.69835538678115
0	2	Heat-Killed	13	11.94406714	CH4	2_Heat-Killed_13_CH4	498.22873629145226
1	2	Heat-Killed	13	11.9452411	CH4	2_Heat-Killed_13_CH4	498.27770626126244
2	2	Heat-Killed	13	11.66301543	CH4	2_Heat-Killed_13_CH4	486.50508833598275
4	2	Heat-Killed	13	11.65651984	CH4	2_Heat-Killed_13_CH4	486.23413460144377
8	2	Heat-Killed	13	12.23549529	CH4	2_Heat-Killed_13_CH4	510.3852217827299
24	2	Heat-Killed	13	11.79429514	CH4	2_Heat-Killed_13_CH4	491.9812233281382
48	2	Heat-Killed	13	11.77881052	CH4	2_Heat-Killed_13_CH4	491.33530577223996
72	2	Heat-Killed	13	11.44988843	CH4	2_Heat-Killed_13_CH4	477.614817154906
120	2	Heat-Killed	13	10.60529875	CH4	2_Heat-Killed_13_CH4	442.38403320008615
240	2	Heat-Killed	13	11.15949657	CH4	2_Heat-Killed_13_CH4	465.5015589371424
360	2	Heat-Killed	13	9.949671969	CH4	2_Heat-Killed_13_CH4	415.0355514184891
480	2	Heat-Killed	13	9.419500207	CH4	2_Heat-Killed_13_CH4	392.92023643385875
0	1	Blank	19	13.6065538	CH4	1_Blank_19_CH4	567.57685850179
1	1	Blank	19	13.29030271	CH4	1_Blank_19_CH4	554.3849215280084
2	1	Blank	19	13.60022315	CH4	1_Blank_19_CH4	567.3127849904446
4	1	Blank	19	13.25827593	CH4	1_Blank_19_CH4	553.0489727310156
